Id;;parent-class-id;grandparent-class-id;grand-grandparent-class-id;parent-class-id;grandparent-class-id;grand-grandparent-class-id
t20; controlled vocabulary ;data model (format) ;model ;;t257;t250;
t200; synonym ring  ;synonym ring ;term list ;;t267;t252;
t201; authority file ;glossary ;term list ;;t263;t252;
t202; classification schemes ;alphanumeric classification ; classification (broad) ;classification ;t274;t261;t253
t203; faceted controlled vocabularies ;faceted classification ; classification (broad) ;classification ;t279;t261;t253
t204; thesauri ;thesauri ;classification ;;t265;t253;
t205; ontology ;logical model ;model ;;t256;t250;
t206; vocabulary encoding scheme ;classification ;;;t253;;
t207; authority file ;term list ;;;t252;;
t208; hierarchical classification ;classification (broad) ;classification ;;t261;t253;
t209; enumerative classification ;enumerative classification ; classification (broad) ;classification ;t276;t261;t253
t21; metadata element sets ;metadata model ; data model (format) ;model ;t273;t257;t250
t210; synthetic classification ;faceted classification ; classification (broad) ;classification ;t279;t261;t253
t211; hierarchy  ;classification (broad) ;classification ;;t261;t253;
t212; taxonomy ;classification (broad) ;classification ;;t261;t253;
t213; vocabulary encoding scheme (ves) ;classification ;;;t253;;
t214; controlled-list data element ;data model (format) ;model ;;t257;t250;
t215; vocabulary mapping ;mapping ;;;t254;;
t216; thesaurus ;thesauri ;classification ;;t265;t253;
t217;  flat list of preferred terms ;flat term list ;term list ;;t266;t252;
t218; model ;logical model ;model ;;t256;t250;
t22; subject heading scheme ;format / combination rules ; data model (format) ;model ;t275;t257;t250
t23; subject headings ;subject list ;term list ;;t264;t252;
t24; synonym ring ;synonym ring ;term list ;;t267;t252;
t25; taxonomy ;taxonomy ; classification (broad) ;classification ;t271;t261;t253
t26; terminology ;flat term list ;term list ;;t266;t252;
t27; thesaurus ;thesauri ;classification ;;t265;t253;
t28; thesaurus ;thesauri ;classification ;;t265;t253;
t29; controlled vocabulary ;controlled resource ;;;t251;;
t3; authority file ;term list ;;;t252;;
t30; controlled vocabulary ;classification ;;;t253;;
t31; core vocabularies ;data model (format) ;model ;;t257;t250;
t32; ontology ;logical model ;model ;;t256;t250;
t33; classification ;alphanumeric classification ; classification (broad) ;classification ;t274;t261;t253
t34; authority file ;term list ;;;t252;;
t35; controlled vocabulary ;controlled resource ;;;t251;;
t36; crosswalk  ;mapping ;;;t254;;
t37; element ;data model (format) ;model ;;t257;t250;
t38; encoding scheme ;format / combination rules ; data model (format) ;model ;t275;t257;t250
